"Date","DryBulb","RelHum"
"2016-07-02 05:40:00.0",22.2,90
"2016-07-02 05:45:00.0",21.1,90
"2016-07-02 05:50:00.0",22,90
"2016-07-02 05:55:00.0",24.6,90
"2016-07-02 06:00:00.0",23.7,90
"2016-07-02 06:05:00.0",24.4,90
"2016-07-02 06:10:00.0",22.7,90
"2016-07-02 06:15:00.0",23.3,90
"2016-07-02 06:20:00.0",21.9,90
"2016-07-02 06:25:00.0",23.9,90
"2016-07-02 06:30:00.0",22.2,90
"2016-07-02 06:35:00.0",23.5,90
"2016-07-02 06:40:00.0",22.3,90
"2016-07-02 06:45:00.0",22.5,90
"2016-07-02 06:50:00.0",25.3,90
"2016-07-02 06:55:00.0",24.7,90
"2016-07-02 07:00:00.0",25.4,90
"2016-07-02 07:05:00.0",22.1,90
"2016-07-02 07:10:00.0",24.1,90
"2016-07-02 07:15:00.0",23.9,90
"2016-07-02 07:20:00.0",22.1,90
"2016-07-02 07:25:00.0",24.2,90
"2016-07-02 07:30:00.0",24.2,90
"2016-07-02 07:35:00.0",22.9,90
"2016-07-02 07:40:00.0",24,90
"2016-07-02 07:45:00.0",22.3,90
"2016-07-02 07:50:00.0",22.1,81
"2016-07-02 07:55:00.0",25.7,82
"2016-07-02 08:00:00.0",24.9,77
"2016-07-02 08:05:00.0",24.7,84
"2016-07-02 08:10:00.0",24.6,74
"2016-07-02 08:15:00.0",25.9,79
"2016-07-02 08:20:00.0",24.4,80
"2016-07-02 08:25:00.0",25.5,80
"2016-07-02 08:30:00.0",25.7,79
"2016-07-02 08:35:00.0",26.2,84
"2016-07-02 08:40:00.0",25.9,82
"2016-07-02 08:45:00.0",27.3,82
"2016-07-02 08:50:00.0",26.3,84
"2016-07-02 08:55:00.0",27.4,86
"2016-07-02 09:00:00.0",25.1,85
"2016-07-02 09:05:00.0",25.5,86
"2016-07-02 09:10:00.0",27.9,85
"2016-07-02 09:15:00.0",26.8,84
"2016-07-02 09:20:00.0",27.6,87
"2016-07-02 09:25:00.0",25,80
"2016-07-02 09:30:00.0",27.1,86
"2016-07-02 09:35:00.0",26.4,85
"2016-07-02 09:40:00.0",25.5,81
"2016-07-02 09:45:00.0",26.4,81
"2016-07-02 09:50:00.0",26.9,77
"2016-07-02 09:55:00.0",25.7,79
"2016-07-02 10:00:00.0",27.6,78
"2016-07-02 10:05:00.0",27.9,74
"2016-07-02 10:10:00.0",26.6,72
"2016-07-02 10:15:00.0",28.5,79
"2016-07-02 10:20:00.0",29.3,77
"2016-07-02 10:25:00.0",26.7,78
"2016-07-02 10:30:00.0",27.7,74
"2016-07-02 10:35:00.0",29,71
"2016-07-02 10:40:00.0",26.2,72
"2016-07-02 10:45:00.0",27.9,75
"2016-07-02 10:50:00.0",28.4,72
"2016-07-02 10:55:00.0",29.9,74
"2016-07-02 11:00:00.0",27.5,66
"2016-07-02 11:05:00.0",27.7,63
"2016-07-02 11:10:00.0",30,70
"2016-07-02 11:15:00.0",30.3,68
"2016-07-02 11:20:00.0",29.3,65
"2016-07-02 11:25:00.0",31.2,68
"2016-07-02 11:30:00.0",30.1,63
"2016-07-02 11:35:00.0",30.2,71
"2016-07-02 11:40:00.0",31.6,61
"2016-07-02 11:45:00.0",29.4,63
"2016-07-02 11:50:00.0",29.8,66
"2016-07-02 11:55:00.0",30.7,59
"2016-07-02 12:00:00.0",28.3,65
"2016-07-02 12:05:00.0",31,62
"2016-07-02 12:10:00.0",29.6,63
"2016-07-02 12:15:00.0",29.6,64
"2016-07-02 12:20:00.0",30.4,60
"2016-07-02 12:25:00.0",29.9,68
"2016-07-02 12:30:00.0",30.7,60
"2016-07-02 12:35:00.0",29.2,56
"2016-07-02 12:40:00.0",30.7,59
"2016-07-02 12:45:00.0",28.8,59
"2016-07-02 12:50:00.0",30.1,55
"2016-07-02 12:55:00.0",31.4,61
"2016-07-02 13:00:00.0",32,57
"2016-07-02 13:05:00.0",29,56
"2016-07-02 13:10:00.0",29.9,52
"2016-07-02 13:15:00.0",32,56
"2016-07-02 13:20:00.0",32.3,55
"2016-07-02 13:25:00.0",32.7,49
"2016-07-02 13:30:00.0",30.8,49
"2016-07-02 13:35:00.0",30.4,47
"2016-07-02 13:40:00.0",29.7,57
"2016-07-02 13:45:00.0",31.4,55
"2016-07-02 13:50:00.0",31.5,50
"2016-07-02 13:55:00.0",28.6,53
"2016-07-02 14:00:00.0",30.7,48
"2016-07-02 14:05:00.0",32,49
"2016-07-02 14:10:00.0",32.3,49
"2016-07-02 14:15:00.0",29.9,48
"2016-07-02 14:20:00.0",32.4,52
"2016-07-02 14:25:00.0",30.9,54
"2016-07-02 14:30:00.0",31.3,56
"2016-07-02 14:35:00.0",31.4,53
"2016-07-02 14:40:00.0",31.5,55
"2016-07-02 14:45:00.0",31.8,50
"2016-07-02 14:50:00.0",29.9,55
"2016-07-02 14:55:00.0",33.6,51
"2016-07-02 15:00:00.0",30.8,60
"2016-07-02 15:05:00.0",30.2,54
"2016-07-02 15:10:00.0",30.9,54
"2016-07-02 15:15:00.0",32,56
"2016-07-02 15:20:00.0",31.1,62
"2016-07-02 15:25:00.0",31.9,58
"2016-07-02 15:30:00.0",31.2,62
"2016-07-02 15:35:00.0",32.4,58
"2016-07-02 15:40:00.0",32.3,53
"2016-07-02 15:45:00.0",30.3,57
"2016-07-02 15:50:00.0",29.2,56
"2016-07-02 15:55:00.0",30.8,60
"2016-07-02 16:00:00.0",28.8,56
"2016-07-02 16:05:00.0",31.5,59
"2016-07-02 16:10:00.0",31.4,60
"2016-07-02 16:15:00.0",29.6,59
"2016-07-02 16:20:00.0",32.7,52
"2016-07-02 16:25:00.0",29.9,53
"2016-07-02 16:30:00.0",32.9,53
"2016-07-02 16:35:00.0",32,54
"2016-07-02 16:40:00.0",31.5,57
"2016-07-02 16:45:00.0",31.7,52
"2016-07-02 16:50:00.0",30.8,51
"2016-07-02 16:55:00.0",31.3,60
"2016-07-02 17:00:00.0",30.4,57
"2016-07-02 17:05:00.0",30.9,59
"2016-07-02 17:10:00.0",30.9,53
"2016-07-02 17:15:00.0",29.9,52
"2016-07-02 17:20:00.0",29.8,54
"2016-07-02 17:25:00.0",28.8,55
"2016-07-02 17:30:00.0",30.7,59
"2016-07-02 17:35:00.0",30.6,58
"2016-07-02 17:40:00.0",32.4,59
"2016-07-02 17:45:00.0",31.2,60
"2016-07-02 17:50:00.0",28.4,61
"2016-07-02 17:55:00.0",29,52
"2016-07-02 18:00:00.0",31.5,57
"2016-07-02 18:05:00.0",29,53
"2016-07-02 18:10:00.0",30.9,53
"2016-07-02 18:15:00.0",29.9,56
"2016-07-02 18:20:00.0",29.9,55
"2016-07-02 18:25:00.0",30.6,55
"2016-07-02 18:30:00.0",30.7,54
